"","state","county_name","county_crime_2016","inactivity_2016","median_house_income_2016","pop_2016","rural_2016","rec_resource_2016","county_crime_2018","inactivity_2018","median_house_income_2018","pop_2018","rural_2018","rec_resource_2018","county_crime_2020","inactivity_2020","median_house_income_2020","pop_2020","rural_2020","rec_resource_2020"
"2342","PA","Schuylkill County",204.62414429,0.286,43169,145797,0.3646123448,0.7028370277,181.08352506,0.273,50299,143573,0.3646123448,0.498607449,319.43957968,0.23,48809,142067,0.3646123448,0.7518224548
"2343","PA","Snyder County",293.932923,0.246,49117,40323,0.6682031132,0.6541484056,224.9957548,0.226,52487,40468,0.6682031132,0.3218477659,188.05768832,0.262,56991,40540,0.6682031132,0.6753564052
"2344","PA","Somerset County",141.93415509,0.293,45706,76218,0.7080214041,0.7242931749,114.57935488,0.293,43938,75061,0.7080214041,0.4031154331,114.76995963,0.281,50504,73952,0.7080214041,0.7119446374
"2345","PA","Sullivan County",201.39426801,0.321,44191,6339,1,0.3878344742,150.28242732,0.255,43426,6137,1,0.3344741755,79.176563737,0.268,48998,6071,1,0.367921593
"2346","PA","Susquehanna County",128.35095917,0.243,49552,41920,0.8402989206,0.3920795276,115.45654118,0.278,47518,40862,0.8402989206,0.1401882092,126.07931535,0.34,52573,40589,0.8402989206,0.404396162
"2347","PA","Tioga County",96.803058651,0.27,47360,42274,0.9010981158,0.5270479503,115.8095715,0.26,49004,41467,0.9010981158,0.2924656392,119.82157263,0.274,48799,40763,0.9010981158,0.5678521236
"2348","PA","Union County",82.989396623,0.264,47996,44874,0.4281487085,0.7358889359,78.703909951,0.237,57013,45565,0.4281487085,0.7155538746,66.923952082,0.213,55679,44785,0.4281487085,0.6876543485
"2349","PA","Venango County",134.61480156,0.256,43810,53529,0.54755929,0.6566637567,112.66322315,0.217,41395,52582,0.54755929,0.4740106213,134.595836,0.26,45761,51266,0.54755929,0.7365051651
"2350","PA","Warren County",249.85830719,0.217,44651,40703,0.5504244888,0.7722587588,223.41194726,0.238,43896,40025,0.5504244888,0.6075570967,185.6443512,0.228,50554,39498,0.5504244888,0.8146119813
"2351","PA","Washington County",200.85261206,0.267,55796,208187,0.3082475219,0.8381050909,184.38267418,0.275,58068,207981,0.3082475219,0.48284092,176.39050858,0.229,63119,207346,0.3082475219,0.7403955346
"2352","PA","Wayne County",117.05327812,0.237,48663,51401,0.8809397599,0.6928363182,117.40402381,0.272,49357,50710,0.8809397599,0.2665366703,110.88323897,0.252,53602,51276,0.8809397599,0.5822952558
"2353","PA","Westmoreland County",160.23709612,0.252,53536,359320,0.2536359877,0.8253411434,167.48824903,0.26,56544,355458,0.2536359877,0.5699333733,168.57601932,0.25,58398,350611,0.2536359877,0.8595663925
"2354","PA","Wyoming County",83.634664108,0.257,55882,28131,0.8345593436,0.5080633753,134.99111901,0.259,55836,27521,0.8345593436,0.0194864903,135.85233757,0.308,57599,27046,0.8345593436,0.6530980337
"2355","PA","York County",254.35338541,0.231,58471,440755,0.2472044178,0.778698399,226.89853645,0.221,62305,443744,0.2472044178,0.5893206919,219.86835085,0.214,65238,448273,0.2472044178,0.7216303578
"2356","RI","Rhode Island",252.43158001,0.240648947,54797,1055173,0.0926534843,0.9293175636,242.92234087,0.241,60046,1056426,0.0926534843,0.9097710645,229.06811378,0.244,63787,1057315,0.0926534843,0.9492773382
"2357","RI","Bristol County",84.982802693,0.224,68246,49060,0.0114285714,0.8930125313,69.591773306,0.225,70697,49067,0.0114285714,0.9191779449,70.294830783,0.203,80231,48649,0.0114285714,0.9636090226
"2358","RI","Kent County",120.60495445,0.227,61923,165128,0.0798637441,0.9201001456,120.26992122,0.237,63762,164614,0.0798637441,0.9402496419,111.85648419,0.242,69089,163861,0.0798637441,0.9421273727
"2359","RI","Newport County",187.2794935,0.187,69203,82358,0.1209222083,0.8774732169,182.10071383,0.183,72776,82784,0.1209222083,0.8392529679,163.8130832,0.195,77760,82542,0.1209222083,0.8918178747
"2360","RI","Providence County",344.76169286,0.262,47278,631974,0.0550882686,0.9507314092,330.9760057,0.263,52011,633673,0.0550882686,0.9403399254,312.12648114,0.266,56141,636084,0.0550882686,0.9631175728
"2361","RI","Washington County",73.636540555,0.196,70705,126653,0.3082320699,0.8837996834,76.546638019,0.182,77000,126288,0.3082320699,0.761362115,75.128806361,0.187,86715,126179,0.3082320699,0.9222076091
"2362","SC","South Carolina",577.49045072,0.2515141097,45337,4832482,0.3367421461,0.7079276355,521.43444679,0.248,49587,4961119,0.3367421461,0.5418155198,499.79573397,0.259,52449,5084127,0.3367421461,0.6826230325
"2363","SC","Abbeville County",486.08388867,0.295,35525,24965,0.7857733013,0.6378014715,394.01638565,0.324,40211,24872,0.7857733013,0.2667899437,341.19308921,0.291,42412,24541,0.7857733013,0.5903922572
"2364","SC","Aiken County",355.99828196,0.257,48537,164753,0.3699898188,0.6932273156,345.51681271,0.247,47394,167458,0.3699898188,0.6901292325,453.0783204,0.269,52633,169401,0.3699898188,0.6828899618
"2365","SC","Allendale County",845.15158306,0.336,25530,9695,0.6825990978,0.0047029465,477.2249724,0.322,26864,9045,0.6825990978,0.645455418,481.86659904,0.411,29124,8903,0.6825990978,0.6122468567
"2366","SC","Anderson County",593.95353187,0.301,43124,192810,0.3792578263,0.6498562466,585.21020562,0.265,45821,196569,0.3792578263,0.5604459028,600.10181676,0.269,51740,200482,0.3792578263,0.5174802005
"2367","SC","Bamberg County",633.71093669,0.344,30349,15182,0.5450678676,0.3963845625,556.44888287,0.33,32245,14434,0.5450678676,0.4996559705,419.02718648,0.358,36230,14275,0.5450678676,0.068743354
